BoMId;Material;Quantity;Unit
Battery_NMC622;Aluminium;0.29937313561886647;kg
Battery_NMC622;Cable;0.0032856339976654707;kg
Battery_NMC622;Cobalt;0.028434980588820196;kg
Battery_NMC622;Copper;0.08466283342700272;kg
Battery_NMC622;Electrolyte;0.09379620422809218;kg
Battery_NMC622;Electronic components;0.007816350352341014;kg
Battery_NMC622;Graphite;0.1411923392849423;kg
Battery_NMC622;Lithium;0.01674296554407505;kg
Battery_NMC622;Manganese;0.026517490121481996;kg
Battery_NMC622;Nickel;0.08495418131511824;kg
Battery_NMC622;Others (elastomer);0.09806656417794303;kg
Battery_NMC622;Plastics;0.02288288444079374;kg
Battery_NMC622;Steel;0.09227443690285764;kg
Battery_NMC111;Aluminium;0.29937313561886647;kg
Battery_NMC111;Cable;0.0032856339976654707;kg
Battery_NMC111;Cobalt;0.04777927971985647;kg
Battery_NMC111;Copper;0.08466283342700272;kg
Battery_NMC111;Electrolyte;0.09379620422809218;kg
Battery_NMC111;Electronic components;0.007816350352341014;kg
Battery_NMC111;Graphite;0.1411923392849423;kg
Battery_NMC111;Lithium;0.01674296554407505;kg
Battery_NMC111;Manganese;0.044542679849552555;kg
Battery_NMC111;Nickel;0.047584692456011414;kg
Battery_NMC111;Others (elastomer);0.09806656417794303;kg
Battery_NMC111;Plastics;0.02288288444079374;kg
Battery_NMC111;Steel;0.09227443690285764;kg
Battery_NMC442;Aluminium;0.29937313561886647;kg
Battery_NMC442;Cable;0.0032856339976654707;kg
Battery_NMC442;Cobalt;0.05682510584064675;kg
Battery_NMC442;Copper;0.08466283342700272;kg
Battery_NMC442;Electrolyte;0.09379620422809218;kg
Battery_NMC442;Electronic components;0.007816350352341014;kg
Battery_NMC442;Graphite;0.1411923392849423;kg
Battery_NMC442;Lithium;0.01674296554407505;kg
Battery_NMC442;Manganese;0.026487867882927674;kg
Battery_NMC442;Nickel;0.05659367830184601;kg
Battery_NMC442;Others (elastomer);0.09806656417794303;kg
Battery_NMC442;Plastics;0.02288288444079374;kg
Battery_NMC442;Steel;0.09227443690285764;kg
