Fraction;Density [g /cm3];Molar mass [g /mol];URI
Al(OH)3;;78;http://data.europa.eu/xsp/cn2024/281830000080
Aluminium;2.7;26.92;
Aluminium sulfate (Al2(SO4)3);2.67;342.15;
Ca(OH)2;;74.09;
Calcium;1.55;40.08;
Calcium oxide (CaO);3.34;56.08;
Calcium sulfate (CaSO4);2.96;136.11;https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:31346
Cobalt;8.9;58.93;http://data.europa.eu/xsp/cn2024/810520000080
Cobalt sulfate (CoSO4);3.71;154.99;
Copper;8.96;63.55;
Copper sulfate (CuSO4);3.6;159.61;
Cyanex 272;0.92;290;https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:25710
Cyanex 301GN;0.91;322;https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:25710
D2EHPA;0.96;322.4;http://data.europa.eu/xsp/cn2024/291900000080
Fe(OH)3;;106.87;http://data.europa.eu/xsp/cn2024/282110000080
Graphite (Average);2;12;https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:33418
H2O;1;18.02;http://data.europa.eu/xsp/cn2024/220100000080
H2SO4;1.84;98.08;http://data.europa.eu/xsp/cn2024/280700000080
Hydrogen peroxide;1.45;34.01;http://data.europa.eu/xsp/cn2024/284700000080
Iron;7.87;55.85;http://data.europa.eu/xsp/cn2024/720600000080
Iron sulfate (FeSO4);2.84;151.91;
Kerosene (mean);0.8;;http://data.europa.eu/xsp/cn2024/271019210020
Lithium;0.53;6.94;http://data.europa.eu/xsp/cn2024/850650000080
Lithium sulfate (Li2SO4);2.22;109.94;
Manganese;7.47;54.94;http://data.europa.eu/xsp/cn2024/811100000080
Manganese sulfate (MnSO4);3.25;151;https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:86364
Nickel;8.91;58.69;http://data.europa.eu/xsp/cn2024/750210000080
Nickel sulfate (NiSO4);3.68;154.75;https://www.ebi.ac.uk/chebi/searchId.do?chebiId=53001
Silicium dioxide (SiO2);2.65;60.08;
SO4;;96.06;
Sodium hydroxide (100% for hydroxide formation of Al + Fe);2.13;39.98;http://data.europa.eu/xsp/cn2024/281511000010
